2,153,0
2,186,0
3,101,0
3,113,0
3,139,0
3,153,0
3,184,0
4,95,0
4,102,0
4,108,0
4,117,0
4,130,0
4,143,0
4,166,0
4,211,0
5,112,0
5,126,0
5,165,0
5,181,0
6,105,0
6,127,0
7,112,0
7,140,0
7,154,0
7,173,0
8,92,0
8,123,0
8,145,0
8,177,0
8,201,0
9,107,0
9,137,0
9,151,0
9,157,0
9,174,0
9,200,0
10,119,0
10,131,0
10,147,0
10,152,0
10,170,0
11,116,0
11,117,0
11,128,0
11,132,0
11,136,0
11,140,0
11,153,0
11,154,0
11,164,0
12,115,0
12,123,0
12,129,0
12,143,0
12,144,0
13,124,0
13,134,0
13,143,0
13,147,0
13,160,0
13,177,0
14,114,0
14,136,0
14,144,0
14,161,0
14,165,0
14,170,0
14,179,0
15,110,0
15,135,0
15,162,0
15,168,0
15,179,0
16,122,0
16,123,0
16,154,0
16,159,0
16,173,0
16,181,0
16,182,0
17,138,0
17,141,0
17,167,0
18,157,0
19,123,0
19,135,0
19,164,0
20,119,0
20,129,0
20,140,0
20,142,0
21,163,0
21,173,0
21,185,0
22,133,0
22,146,0
22,159,0
23,132,0
24,132,0
