148.5,156
148.5,158.5
148.5,161.5
148.5,162.5
148.5,163
148.5,166
148.5,166.5
148.5,167
148.5,167.5
148.5,172
149,128.5
149,131
149,147
149,151
149,153
149,153.5
149,154
149,161.5
149,162.5
149,163.5
149,165
149,167.5
149,171
149,171.5
149,173.5
149.5,128.5
149.5,133
149.5,141
149.5,153
149.5,154.5
149.5,155
149.5,155.5
149.5,159.5
149.5,161
149.5,161.5
149.5,163
149.5,165
149.5,166.5
149.5,167
149.5,168
149.5,168.5
149.5,171.5
149.5,172
150,135.5
150,147
150,155.5
150,159.5
150,161
150,161.5
150,162
150,164
150,165
150,167
150,167.5
150,168
150,168.5
150,169
150,169.5
150,171
150,172.5
150,173.5
150.5,156.5
150.5,157
150.5,161.5
150.5,162
150.5,164
150.5,164.5
150.5,165
150.5,166.5
150.5,167
150.5,167.5
150.5,168.5
150.5,171.5
150.5,172
150.5,172.5
150.5,173.5
151,127
151,131
151,141.5
151,145
151,145.5
151,153
151,155
151,156
151,162.5
151,163
151,164
151,164.5
151,165
151,166.5
151,167.5
151,168
151,168.5
151,169
151,173.5
151.5,125.5
151.5,131
151.5,141.5
151.5,145.5
151.5,156
151.5,159
151.5,159.5
151.5,160.5
151.5,161.5
151.5,162.5
151.5,163
151.5,164
151.5,164.5
151.5,165
151.5,167
151.5,168
151.5,168.5
152,125.5
152,131
152,149
152,152.5
152,153.5
152,162.5
152,164
152,164.5
152,165
152,166.5
152,167.5
152,168
152.5,125.5
152.5,127
152.5,131
152.5,138.5
152.5,151
152.5,152.5
152.5,153.5
152.5,157
152.5,160.5
152.5,161.5
152.5,162.5
152.5,164.5
152.5,165
152.5,166.5
152.5,169
152.5,171.5
153,127
153,131
153,131.5
153,138.5
153,142
153,147
153,147.5
153,154
153,155.5
153,157
153,160.5
153,162.5
153,163
153,163.5
153,167
153,167.5
153,172
153,172.5
153,173.5
153.5,127.5
153.5,130
153.5,131.5
153.5,133.5
153.5,138.5
153.5,142
153.5,149.5
153.5,151
153.5,153.5
153.5,154
153.5,163
153.5,166.5
153.5,170
153.5,172.5
153.5,173
154,125.5
154,127.5
154,128.5
154,130
154,131.5
154,133.5
154,136.5
154,137.5
154,138.5
154,140.5
154,147.5
154,148
154,150.5
154,154.5
154,161.5
154,162.5
154,163
154,166
154,166.5
154,167.5
154,168
154,171.5
